Short Form,Full Form (English),Description,Arabic,Description (Arabic),Chinese,Description (Chinese),French,Description (French),German,Description (German),Italian,Description (Italian),Japanese,Description (Japanese),Korean,Description (Korean),Portugese,Description (Portugese),Russian,Description (Russian),Spanish,Description (Spanish)
,Precision Hopper,"Storage tech term. Refers to a hopper that is unlocked in the same tick as it's supposed to suck up an item. If the item entity is created in that tick, as it would be with for example timing a shulker box breaking correctly, there will be 0 physics enacted on that item. This makes it not only extremely reliable as there are no physics issues, but also might be lazy chunk compatible [Needs proof] .",,,精密漏斗,,,,,,,,,,,,,,,,Hopper de Precisión,
,Precision Loader,Storage tech term. Refers to a Box Loader that makes use of a Precision Hopper to achieve Slice Preservation.,,,精密打包机,,,,,,,,,,,,,,,,Loader de Precisión,
,Prefill,Refers to filling containers with items beforehand.,,,预填充,,,,,,,,,,,,,,,,Precarga,
,Preplace,Refers to blocks being placed beforehand.,,,预放置,,,,,,,,,,,,,,,,Precolocado,
,Pure Box,Storage tech term.,,,纯净盒,储电述语，形容该潜影盒中仅有一种类的物品。,,,,,,,,,,,,,,,Box Pura,
,Quad Bulk,Storage tech term.,,,四边形大宗,,,,,,,,,,,,,,,,Bulk Cuádruple,
,Remote Bulk,,,,远程访问大宗,,,,,,,,,,,,,,,,Bulk Remoto,
,Sequential,Storage tech term.,,,顺序的,,,,,,,,,,,,,,,,Secuencial,
,Serializer,"In storage tech, it refers to components used to convert Serial codes into Parallel codes or viceversa. These sometimes also act as Encoders or Decoders, in the computational redstone sense. For example serial hex to parallel binary is a deserializer encoder.",,,串行信号发生器,,,,,,,,,,,,,,,,Serializador,
,Set,,,,整流,,,,,,,,,,,,,,,,Set,
,Set Based,Storage tech term.,,,基于黑名单的,,,,,,,,,,,,,,,,Basado en Set,
SS Sorter,Signal Strength Sorter,Storage tech term.,,,潜影盒填充度分类,,,,,,,,,,,,,,,,Clasificador de Signal Strength,
,Silent,"Storage tech term. Used to tag a contraption that does not make noise when activated. Sources of noise are: pistons, uncovered note blocks, trapdoors, doors and fence gates, and droppers or dispensers failing to fire. Silent contraptions usually avoid all of those.",,,静音,,,,,,,,,,,,,,,,Silencioso,
,Slice Preservation (aka Local Output),"Storage tech term. A contraption is said to be slice preserving if it outputs the shulker boxes or items within the slice, in contrast to Global Output, where there's one output for all Slices. This term is mostly used for 1-Wide Tileable contraptions. Since some systems are only mostly slice preserving, but fail to be so in some specific condition or with a very low change, some people use the term perfect slice preservation for a system that does not have said flaws.",,,单片输出,,,,,,,,,,,,,,,,Presevarción de Slice,
,Smart Box Display,Storage tech term. A Box Display that will only break the shulker box when it's both empty and closed.,,,可反悔潜影盒展示,,,,,,,,,,,,,,,,(Shulker) Box Display Inteligente,
,Smart Box Sorter,Storage tech term.,,,单片解锁潜影盒分类,,,,,,,,,,,,,,,,(Shulker) Box Sorter Inteligente,
,Stack Separation/Separator,Storage tech term. Uses item entity separators to sort up to one full stack at a time.,,,堆分离,,,,,,,,,,,,,,,,Separador de Stacks,
,Stack Sorter,Storage tech term. Refers to contraption that uses stack separation to filter entire stack of items at once.,,,堆分类,,,,,,,,,,,,,,,,Clasificador de Stacks,
SIS,Storage Input System,Storage tech term.,,,输入系统,,,,,,,,,,,,,,,,Input del Sistema de Almacenamiento,
Svar,Svar,,,,自适应潜影盒分类,,,,,,,,,,,,,,,,Clasificador Variable de (Shulker) Boxes,
,Temp Storage,"Storage tech term. Short for ""temporary storage"". Refers to a contraption that stores a partial box until another partial box with the same item type is input, after which both are output for merging",,,临时存储(缓存),,,,,,,,,,,,,,,,Almacén Temporal,
,Unloader,"Storage tech term. Usually refers to a contraption that unloads items from a container, such as shulker box or minecarts",,,拆包机/卸货机,,,,,,,,,,,,,,,,Unloader,
,Unstackable Filter (aka Unstackable Separator),Storage tech term. Refers to a contraption that separates unstackable items from stackable items,,,不可堆叠分离,,,,,,,,,,,,,,,,Filtro de Unstackables,
,Unstackable Separator (aka Unstackable Filter),Storage tech term. Refers to a contraption that separates unstackable items from stackable items,,,不可堆叠分离,,,,,,,,,,,,,,,,Filtro de Unstackables,
,Unstackable Sorter,Storage tech term. Refers to a contraption that sorts a certain unstackable(s) from other unstackables based on a unique property of that item,,,不可堆叠分类,,,,,,,,,,,,,,,,Clasificador de Unstackables,
var,Variable,Storage tech term.,,,自适应的,,,,,,,,,,,,,,,,Variable,
,Variable Loader,Storage tech term.,,,自适应打包机,,,,,,,,,,,,,,,,Loader Variable,
,Variable Sorter,"Storage tech term. Refers to an item filter that does not always filter for the same item, but instead can be remapped, meaning getting the item type reassigned (in contrast with Fixed Sorter).",,,自适应分类,,,,,,,,,,,,,,,,Clasificador Variable,
,Variable Stack Separation,Storage tech term.,,,自适应堆分,,,,,,,,,,,,,,,,Separador Variable de Stacks,
,Wanker(aka Item Wanker),Storage tech term.,,,潜影盒取样器,,,,,,,,,,,,,,,,Wanker,
,Whitelister,Storage tech term.,,,白名单,,,,,,,,,,,,,,,,Whitelister,
,Whitelister Box Sorter,Storage tech term. Sorts boxes by checking if it contains a specific item type in any slot,,,白名单分盒器*,,,,,,,,,,,,,,,,Box Sorter con Whitelister,
